Age,Annual_Income,Spending_Score,Tenure,Purchase_Frequency,Avg_Order_Value,Last_Purchase_Days,Support_Calls,Discount_Usage,Loyalty_Score,Churn,CLV,Complaint_Rate,Engagement_Score
56,81788,35,3,21,2024,285,2,0.8749333243506489,7,1,170016,0.5,14.183561643835617
69,102879,81,4,11,2691,95,1,0.8587512591908919,90,1,148005,0.2,63.0945205479452
46,58827,98,9,38,4260,41,3,0.40357039244960136,79,1,1618800,0.3,68.65342465753425
32,127188,88,5,8,604,149,0,0.7023961425404268,56,1,28992,0.0,42.23561643835616
60,25655,96,3,42,1921,204,2,0.5570659326839171,49,1,322728,0.5,45.92191780821918
25,64859,65,1,24,3025,267,8,0.8529561136737488,42,1,145200,4.0,33.56986301369863
38,73625,8,5,35,4045,2,6,0.3150559693186544,23,1,849450,1.0,41.89041095890411
56,72098,45,7,14,4410,178,6,0.5236723999989852,52,1,493920,0.75,40.44657534246575
36,35251,87,7,14,3392,194,0,0.48537237120455046,79,1,379904,0.0,53.06986301369864
40,142413,47,6,10,264,336,6,0.35390582625685874,53,1,18480,0.8571428571428571,31.089041095890412
28,20526,40,5,12,1499,196,9,0.8914550645563722,16,1,107928,1.5,20.86027397260274
28,88760,76,1,38,1615,343,6,0.16587792466253548,96,1,122740,3.0,60.605479452054794
41,67837,54,6,44,3793,249,3,0.14950863952069615,37,1,1168244,0.42857142857142855,38.056164383561644
53,145133,76,10,46,1168,212,6,0.5769095353227514,18,1,591008,0.5454545454545454,31.183561643835613
57,149478,46,4,34,568,153,7,0.657494229984942,20,1,96560,1.4,31.816438356164383
41,31536,47,5,41,432,158,2,0.19461925432456517,46,1,106272,0.3333333333333333,46.64246575342466
20,48541,15,9,10,2442,362,9,0.3907174422546241,2,1,244200,0.9,4.164383561643834
39,99083,19,7,17,3283,139,1,0.9465638429787437,87,1,446488,0.125,60.98356164383562
19,71027,26,7,17,1120,221,6,0.246617422690674,94,1,152320,0.75,59.990410958904114
41,54531,52,2,3,888,273,4,0.6683607021173941,63,1,7992,1.3333333333333333,37.441095890410956
61,28712,93,6,31,4472,154,4,0.7401493936975908,3,1,970424,0.5714285714285714,22.361643835616437
47,124101,22,0,1,1669,249,4,0.44812869946515954,46,1,1669,4.0,29.656164383561645
55,85455,21,0,12,4925,279,6,0.937525986759583,49,1,59100,6.0,32.81232876712329
19,94744,51,6,39,4459,304,8,0.7366567352187905,1,1,1217307,1.1428571428571428,15.542465753424656
38,141787,38,9,4,3822,276,7,0.45792457986089785,22,1,152880,0.7,17.076712328767123
50,149749,20,8,42,2300,2,5,0.569335201776094,93,1,869400,0.5555555555555556,78.9904109589041
29,25109,29,6,13,2465,88,6,0.6926134434251007,14,1,224315,0.8571428571428571,26.078082191780823
39,141332,51,9,34,3989,287,8,0.5921901804292182,92,1,1356260,0.8,60.47397260273973
61,69268,4,4,42,1023,130,5,0.8786975838260759,85,1,214830,1.0,67.97671232876712
42,120737,55,7,21,3631,78,0,0.35688866228040117,45,1,610008,0.0,44.52602739726028
66,74615,71,1,22,4351,260,3,0.29988574005580493,96,1,191444,1.5,60.35342465753425
44,102503,92,8,4,4413,241,7,0.2138388894952643,6,1,158868,0.7777777777777778,10.994520547945207
59,143274,28,5,18,997,141,6,0.037782968064595135,65,1,107676,1.0,50.173972602739724
45,49759,4,8,5,979,228,2,0.043013964380055336,21,1,44055,0.2222222222222222,19.506849315068493
33,105708,22,1,19,3050,163,9,0.8700551931092828,4,1,115900,4.5,18.768493150684932
32,80112,76,2,2,3092,236,2,0.6783931464059073,3,1,18552,0.6666666666666666,9.168493150684933
64,122471,45,7,12,2093,128,2,0.6605324154364861,30,1,200928,0.25,31.586301369863016
68,146740,67,0,17,3506,200,0,0.614642818934886,31,1,59602,0.0,29.64109589041096
61,143153,86,9,10,3102,31,9,0.8492191446941049,34,1,310200,0.9,38.301369863013704
69,46589,66,6,34,3918,138,0,0.48026692566562745,83,1,932484,0.0,64.13835616438357
20,50015,88,6,6,221,21,5,0.8704108285583003,20,1,9282,0.7142857142857143,30.649315068493152
54,49009,34,0,8,1700,234,0,0.35944502618223917,87,1,13600,0.0,53.07808219178082
68,103309,91,8,11,1042,202,4,0.9267075043390905,54,1,103158,0.4444444444444444,39.23150684931507
24,146446,55,7,12,1960,279,3,0.6986569800812401,25,1,188160,0.375,20.81232876712329
38,82046,1,3,9,3841,131,4,0.25717713602442727,15,1,138276,1.0,23.02191780821918
26,126661,72,9,2,391,148,6,0.5640849216886251,38,1,7820,0.6,31.490410958904114
